Gästeübernachtungen (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Overnight stays (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;TOU_VALUE;TOU_DENSITY;POP_AVE;;;;;;;
AT13;91400;91400;2005;20051231; 277.247 ; 3.373,07 ; 82.194 ;;;;;;;
AT13;91500;91500;2005;20051231; 430.567 ; 6.150,08 ; 70.010 ;;;;;;;
AT13;91600;91600;2005;20051231; 105.387 ; 1.133,32 ; 92.990 ;;;;;;;
AT13;91700;91700;2005;20051231; 71.722 ; 1.383,53 ; 51.840 ;;;;;;;
AT13;91800;91800;2005;20051231; 44.985 ; 957,54 ; 46.980 ;;;;;;;
AT13;91900;91900;2005;20051231; 125.783 ; 1.875,18 ; 67.078 ;;;;;;;
AT13;92000;92000;2005;20051231; 107.150 ; 1.322,84 ; 81.000 ;;;;;;;
AT13;92100;92100;2005;20051231; 30.310 ; 223,50 ; 135.618 ;;;;;;;
AT13;92200;92200;2005;20051231; 294.680 ; 2.020,44 ; 145.849 ;;;;;;;
AT13;92300;92300;2005;20051231; 74.682 ; 846,33 ; 88.242 ;;;;;;;
AT13;90000;90000;2006;20061231; 9.356.044 ; 5.647,69 ; 1.656.615 ;;;;;;;
AT13;90100;90100;2006;20061231; 1.842.739 ; 106.845,58 ; 17.247 ;;;;;;;
AT13;90200;90200;2006;20061231; 874.211 ; 9.383,89 ; 93.161 ;;;;;;;
AT13;90300;90300;2006;20061231; 1.087.388 ; 12.942,76 ; 84.015 ;;;;;;;
AT13;90400;90400;2006;20061231; 424.922 ; 14.096,11 ; 30.145 ;;;;;;;
AT13;90500;90500;2006;20061231; 446.143 ; 8.520,03 ; 52.364 ;;;;;;;
AT13;90600;90600;2006;20061231; 562.058 ; 19.114,86 ; 29.404 ;;;;;;;
AT13;90700;90700;2006;20061231; 657.100 ; 21.991,02 ; 29.880 ;;;;;;;
AT13;90800;90800;2006;20061231; 298.002 ; 12.602,51 ; 23.646 ;;;;;;;
AT13;90900;90900;2006;20061231; 474.296 ; 12.110,12 ; 39.165 ;;;;;;;
AT13;91000;91000;2006;20061231; 525.602 ; 3.120,96 ; 168.410 ;;;;;;;
AT13;91100;91100;2006;20061231; 18.717 ; 226,40 ; 82.671 ;;;;;;;
AT13;91200;91200;2006;20061231; 197.273 ; 2.334,04 ; 84.520 ;;;;;;;
AT13;91300;91300;2006;20061231; 284.964 ; 5.554,20 ; 51.306 ;;;;;;;
AT13;91400;91400;2006;20061231; 310.759 ; 3.742,48 ; 83.036 ;;;;;;;
AT13;91500;91500;2006;20061231; 459.588 ; 6.541,68 ; 70.255 ;;;;;;;
AT13;91600;91600;2006;20061231; 102.117 ; 1.087,02 ; 93.943 ;;;;;;;
AT13;91700;91700;2006;20061231; 86.999 ; 1.654,51 ; 52.583 ;;;;;;;
AT13;91800;91800;2006;20061231; 43.745 ; 926,13 ; 47.234 ;;;;;;;
AT13;91900;91900;2006;20061231; 140.786 ; 2.082,74 ; 67.596 ;;;;;;;
AT13;92000;92000;2006;20061231; 106.179 ; 1.304,92 ; 81.368 ;;;;;;;
AT13;92100;92100;2006;20061231; 28.471 ; 207,80 ; 137.011 ;;;;;;;
AT13;92200;92200;2006;20061231; 294.690 ; 1.992,84 ; 147.875 ;;;;;;;
AT13;92300;92300;2006;20061231; 89.295 ; 994,60 ; 89.780 ;;;;;;;
AT13;90000;90000;2007;20071231; 9.675.208 ; 5.809,36 ; 1.665.452 ;;;;;;;
AT13;90100;90100;2007;20071231; 1.886.813 ; 110.898,49 ; 17.014 ;;;;;;;
AT13;90200;90200;2007;20071231; 933.578 ; 10.009,68 ; 93.268 ;;;;;;;
AT13;90300;90300;2007;20071231; 1.090.125 ; 13.076,08 ; 83.368 ;;;;;;;
AT13;90400;90400;2007;20071231; 419.082 ; 13.892,70 ; 30.166 ;;;;;;;
AT13;90500;90500;2007;20071231; 438.727 ; 8.387,98 ; 52.304 ;;;;;;;
AT13;90600;90600;2007;20071231; 587.184 ; 19.943,50 ; 29.442 ;;;;;;;
AT13;90700;90700;2007;20071231; 681.896 ; 22.810,75 ; 29.894 ;;;;;;;
AT13;90800;90800;2007;20071231; 310.648 ; 13.175,05 ; 23.579 ;;;;;;;
AT13;90900;90900;2007;20071231; 482.822 ; 12.302,37 ; 39.246 ;;;;;;;
AT13;91000;91000;2007;20071231; 535.323 ; 3.141,12 ; 170.424 ;;;;;;;
AT13;91100;91100;2007;20071231; 19.829 ; 235,18 ; 84.316 ;;;;;;;
AT13;91200;91200;2007;20071231; 222.366 ; 2.607,65 ; 85.274 ;;;;;;;
AT13;91300;91300;2007;20071231; 277.372 ; 5.418,04 ; 51.194 ;;;;;;;
AT13;91400;91400;2007;20071231; 298.206 ; 3.566,34 ; 83.617 ;;;;;;;
AT13;91500;91500;2007;20071231; 515.402 ; 7.334,03 ; 70.275 ;;;;;;;
AT13;91600;91600;2007;20071231; 97.294 ; 1.034,45 ; 94.054 ;;;;;;;
AT13;91700;91700;2007;20071231; 118.150 ; 2.252,57 ; 52.451 ;;;;;;;
AT13;91800;91800;2007;20071231; 47.046 ; 994,09 ; 47.326 ;;;;;;;
AT13;91900;91900;2007;20071231; 159.744 ; 2.354,45 ; 67.848 ;;;;;;;
AT13;92000;92000;2007;20071231; 112.315 ; 1.375,04 ; 81.681 ;;;;;;;
AT13;92100;92100;2007;20071231; 32.534 ; 235,69 ; 138.035 ;;;;;;;
AT13;92200;92200;2007;20071231; 339.810 ; 2.265,12 ; 150.019 ;;;;;;;
AT13;92300;92300;2007;20071231; 68.942 ; 760,46 ; 90.659 ;;;;;;;
AT13;90000;90000;2008;20081231; 10.232.472 ; 6.109,14 ; 1.674.944 ;;;;;;;
AT13;90100;90100;2008;20081231; 1.824.962 ; 108.626,27 ; 16.800 ;;;;;;;
AT13;90200;90200;2008;20081231; 1.025.951 ; 10.989,15 ; 93.360 ;;;;;;;
AT13;90300;90300;2008;20081231; 1.132.139 ; 13.651,35 ; 82.932 ;;;;;;;
AT13;90400;90400;2008;20081231; 426.300 ; 14.060,72 ; 30.319 ;;;;;;;
AT13;90500;90500;2008;20081231; 419.127 ; 8.018,85 ; 52.268 ;;;;;;;
AT13;90600;90600;2008;20081231; 627.733 ; 21.448,40 ; 29.267 ;;;;;;;
AT13;90700;90700;2008;20081231; 698.355 ; 23.316,00 ; 29.952 ;;;;;;;
AT13;90800;90800;2008;20081231; 320.165 ; 13.560,57 ; 23.610 ;;;;;;;
AT13;90900;90900;2008;20081231; 499.049 ; 12.711,99 ; 39.258 ;;;;;;;
AT13;91000;91000;2008;20081231; 650.482 ; 3.776,43 ; 172.248 ;;;;;;;
AT13;91100;91100;2008;20081231; 82.768 ; 951,16 ; 87.018 ;;;;;;;
AT13;91200;91200;2008;20081231; 228.017 ; 2.636,29 ; 86.492 ;;;;;;;
AT13;91300;91300;2008;20081231; 264.889 ; 5.194,51 ; 50.994 ;;;;;;;
AT13;91400;91400;2008;20081231; 290.188 ; 3.459,73 ; 83.876 ;;;;;;;
AT13;91500;91500;2008;20081231; 570.989 ; 8.111,78 ; 70.390 ;;;;;;;
AT13;91600;91600;2008;20081231; 106.343 ; 1.128,58 ; 94.227 ;;;;;;;
AT13;91700;91700;2008;20081231; 208.806 ; 3.998,11 ; 52.226 ;;;;;;;
AT13;91800;91800;2008;20081231; 42.181 ; 888,21 ; 47.490 ;;;;;;;
AT13;91900;91900;2008;20081231; 173.677 ; 2.557,91 ; 67.898 ;;;;;;;
AT13;92000;92000;2008;20081231; 116.093 ; 1.420,73 ; 81.714 ;;;;;;;
AT13;92100;92100;2008;20081231; 34.233 ; 246,15 ; 139.075 ;;;;;;;
AT13;92200;92200;2008;20081231; 416.284 ; 2.736,97 ; 152.097 ;;;;;;;
AT13;92300;92300;2008;20081231; 73.741 ; 806,49 ; 91.434 ;;;;;;;
AT13;90000;90000;2009;20091231; 9.842.827 ; 5.843,88 ; 1.684.298 ;;;;;;;
AT13;90100;90100;2009;20091231; 1.774.470 ; 107.166,93 ; 16.558 ;;;;;;;
AT13;90200;90200;2009;20091231; 1.016.966 ; 10.799,90 ; 94.164 ;;;;;;;
AT13;90300;90300;2009;20091231; 1.084.001 ; 13.079,00 ; 82.881 ;;;;;;;
AT13;90400;90400;2009;20091231; 400.129 ; 13.198,23 ; 30.317 ;;;;;;;
AT13;90500;90500;2009;20091231; 311.030 ; 5.948,00 ; 52.292 ;;;;;;;
AT13;90600;90600;2009;20091231; 570.565 ; 19.547,76 ; 29.188 ;;;;;;;
AT13;90700;90700;2009;20091231; 651.923 ; 21.777,32 ; 29.936 ;;;;;;;
AT13;90800;90800;2009;20091231; 316.073 ; 13.386,54 ; 23.611 ;;;;;;;
AT13;90900;90900;2009;20091231; 443.443 ; 11.302,70 ; 39.233 ;;;;;;;
AT13;91000;91000;2009;20091231; 633.758 ; 3.644,21 ; 173.908 ;;;;;;;
