POP_AVE,REF_DATE,TOU_DENSITY,TOU_VALUE,UEP_DENSITY,UEP_VALUE,ref_year,REF_YEAR,DISTRICT_90100,DISTRICT_90200,DISTRICT_90300,DISTRICT_90400,DISTRICT_90500,DISTRICT_90600,DISTRICT_90700,DISTRICT_90800,DISTRICT_90900,DISTRICT_91000,DISTRICT_91100,DISTRICT_91200,DISTRICT_91300,DISTRICT_91400,DISTRICT_91500,DISTRICT_91600,DISTRICT_91700,DISTRICT_91800,DISTRICT_91900,DISTRICT_92000,DISTRICT_92100,DISTRICT_92200,DISTRICT_92300
90339,2003-12-31,8063.38,728437,80.32,5073,2003,2003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157597,2003-12-31,2270.66,357848,83.83,9145,2003,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94978,2010-12-31,12112.21,1150389,68.87,4562,2010,2010,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48742,2014-12-31,954.15,46507,62.9,2079,2014,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
52841,2012-12-31,6533.59,345243,72.9,2698,2012,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138035,2007-12-31,235.69,32534,65.49,6129,2007,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29362,2003-12-31,11942.24,350645,55.93,1163,2003,2003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50951,2010-12-31,2756.87,140465,43.52,1360,2010,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38529,2003-12-31,10885.07,419395,56.46,1593,2003,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51251,2005-12-31,5509.17,282352,45.03,1466,2005,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
